model,n_train,data_seed,init_seed,picp,mpiw,sum_rmse,interval_score,time_s
ANN,50,2,9,0.83,1.6983,0.265,2.3113,0.41
ANN,50,2,-1,0.816667,1.5717,0.2324,2.2739,0.0
ANN,50,3,0,0.716667,1.4404,0.2683,2.5051,0.4
ANN,50,3,1,0.69,1.3429,0.2924,2.6133,0.39
ANN,50,3,2,0.756667,1.517,0.2328,2.2916,0.4
ANN,50,3,3,0.758333,1.5293,0.2317,2.3039,0.39
ANN,50,3,4,0.738333,1.4778,0.2385,2.3518,0.4
ANN,50,3,5,0.75,1.487,0.2516,2.3899,0.4
ANN,50,3,6,0.773333,1.593,0.2354,2.3108,0.39
ANN,50,3,7,0.725,1.4233,0.2641,2.4696,0.41
ANN,50,3,8,0.673333,1.3286,0.3091,2.7304,0.39
ANN,50,3,9,0.75,1.4943,0.2475,2.3476,0.41
ANN,50,3,-1,0.743333,1.4634,0.2505,2.4009,0.0
ANN,50,4,0,0.806667,1.5849,0.2566,2.41,0.4
ANN,50,4,1,0.823333,1.6599,0.2485,2.3763,0.41
ANN,50,4,2,0.876667,1.8902,0.2724,2.2837,0.4
ANN,50,4,3,0.821667,1.6861,0.267,2.4635,0.41
ANN,50,4,4,0.838333,1.6969,0.2149,2.2632,0.43
ANN,50,4,5,0.821667,1.7033,0.2873,2.4901,0.43
ANN,50,4,6,0.835,1.6731,0.2174,2.2418,0.43
ANN,50,4,7,0.835,1.7044,0.2353,2.3226,0.42
ANN,50,4,8,0.806667,1.5949,0.2272,2.2956,0.42
ANN,50,4,9,0.848333,1.7705,0.2539,2.3355,0.42
ANN,50,4,-1,0.835,1.6964,0.2364,2.3131,0.0
ANN,50,5,0,0.798333,1.5674,0.1806,2.2037,0.41
ANN,50,5,1,0.846667,1.7366,0.2152,2.2215,0.41
ANN,50,5,2,0.813333,1.6436,0.1998,2.3105,0.42
ANN,50,5,3,0.856667,1.745,0.2354,2.1894,0.44
ANN,50,5,4,0.838333,1.7485,0.204,2.2232,0.42
ANN,50,5,5,0.815,1.626,0.1854,2.2493,0.43
ANN,50,5,6,0.928333,1.9436,0.1888,2.0755,0.43
ANN,50,5,7,0.873333,1.7505,0.1712,2.1132,0.42
ANN,50,5,8,0.958333,2.0276,0.1778,2.1163,0.42
ANN,50,5,9,0.805,1.5519,0.1753,2.1412,0.42
ANN,50,5,-1,0.88,1.7341,0.1366,2.0554,0.0
ANN,50,6,0,0.828333,1.647,0.2691,2.3774,0.43
ANN,50,6,1,0.766667,1.4414,0.2827,2.553,0.45
ANN,50,6,2,0.806667,1.5898,0.2575,2.4157,0.42
ANN,50,6,3,0.775,1.5344,0.3085,2.6474,0.42
ANN,50,6,4,0.788333,1.5581,0.2897,2.5458,0.41
ANN,50,6,5,0.83,1.6628,0.2779,2.4362,0.42
ANN,50,6,6,0.811667,1.6705,0.2936,2.4903,0.42
ANN,50,6,7,0.78,1.5121,0.2926,2.5852,0.42
ANN,50,6,8,0.8,1.5246,0.2468,2.3598,0.41
ANN,50,6,9,0.796667,1.5444,0.2866,2.5443,0.41
ANN,50,6,-1,0.808333,1.5685,0.2708,2.4534,0.0
ANN,50,7,0,0.891667,1.8316,0.2213,2.2338,0.42
ANN,50,7,1,0.853333,1.7734,0.2211,2.2798,0.42
ANN,50,7,2,0.861667,1.7149,0.2163,2.2883,0.42
ANN,50,7,3,0.841667,1.7366,0.2059,2.1553,0.42
ANN,50,7,4,0.795,1.5648,0.2771,2.6513,0.41
ANN,50,7,5,0.881667,1.8216,0.2086,2.194,0.43
ANN,50,7,6,0.823333,1.7203,0.2693,2.3946,0.42
ANN,50,7,7,0.888333,1.8194,0.2003,2.2039,0.41
ANN,50,7,8,0.846667,1.7182,0.2398,2.2941,0.39
ANN,50,7,9,0.815,1.6672,0.2215,2.2657,0.38
ANN,50,7,-1,0.863333,1.7368,0.2096,2.211,0.0
ANN,50,8,0,0.698333,1.3528,0.2593,2.4017,0.38
ANN,50,8,1,0.836667,1.6548,0.1982,2.1714,0.39
ANN,50,8,2,0.816667,1.5749,0.1924,2.1522,0.39
ANN,50,8,3,0.821667,1.578,0.1683,2.0791,0.39
ANN,50,8,4,0.791667,1.56,0.2195,2.215,0.39
ANN,50,8,5,0.78,1.4974,0.2328,2.2902,0.39
ANN,50,8,6,0.838333,1.6719,0.2067,2.1235,0.39
ANN,50,8,7,0.841667,1.6486,0.1745,2.0996,0.38
ANN,50,8,8,0.825,1.6414,0.2065,2.1578,0.39
ANN,50,8,9,0.82,1.6282,0.1674,2.0799,0.39
ANN,50,8,-1,0.818333,1.5808,0.1804,2.1056,0.0
ANN,50,9,0,0.835,1.6748,0.1535,2.0619,0.38
ANN,50,9,1,0.855,1.6666,0.129,2.0112,0.38
ANN,50,9,2,0.836667,1.6684,0.1738,2.1601,0.39
ANN,50,9,3,0.855,1.6643,0.1233,1.9783,0.39
ANN,50,9,4,0.843333,1.6557,0.1732,2.2054,0.39
ANN,50,9,5,0.901667,1.8043,0.1031,1.9779,0.41
ANN,50,9,6,0.791667,1.5684,0.1671,2.1025,0.4
ANN,50,9,7,0.79,1.5308,0.1739,2.1533,0.39
ANN,50,9,8,0.801667,1.5453,0.2025,2.2646,0.4
ANN,50,9,9,0.853333,1.6724,0.1588,2.0905,0.41
ANN,50,9,-1,0.838333,1.6451,0.1434,2.0554,0.0
ANN,100,0,0,0.928333,2.1262,0.2713,2.2726,0.8
ANN,100,0,1,0.91,2.4045,0.4843,2.6589,0.78
ANN,100,0,2,0.868333,2.0286,0.339,2.4515,0.76
ANN,100,0,3,0.895,1.8193,0.1501,2.0295,0.76
ANN,100,0,4,0.85,1.7777,0.2018,2.2237,0.76
ANN,100,0,5,0.918333,1.8883,0.1697,2.1136,0.46
ANN,100,0,6,0.993333,2.6728,0.5698,2.6772,0.37
ANN,100,0,7,0.936667,2.171,0.2962,2.2929,0.37
ANN,100,0,8,0.935,1.9039,0.1369,1.9872,0.39
ANN,100,0,9,0.983333,2.9295,0.6634,2.9638,0.38
ANN,100,0,-1,0.968333,2.1722,0.2632,2.2408,0.0
ANN,100,1,0,0.851667,1.7107,0.1373,2.0641,0.38
ANN,100,1,1,0.938333,2.1845,0.3066,2.2926,0.37
ANN,100,1,2,0.835,1.6785,0.1398,2.129,0.38
ANN,100,1,3,0.915,1.912,0.1776,2.0813,0.37
ANN,100,1,4,0.813333,1.7122,0.2315,2.2032,0.36
ANN,100,1,5,0.975,2.3447,0.3247,2.3723,0.43
ANN,100,1,6,0.885,1.8473,0.1884,2.1394,0.4
ANN,100,1,7,0.923333,2.5937,0.5689,2.7726,0.38
ANN,100,1,8,0.873333,2.1942,0.425,2.6089,0.37
ANN,100,1,9,0.808333,1.6481,0.1924,2.2967,0.37
ANN,100,1,-1,0.926667,1.9826,0.1932,2.1232,0.0
ANN,100,2,0,0.921667,1.8509,0.1214,2.0147,0.37
ANN,100,2,1,0.928333,2.1753,0.3384,2.2826,0.35
ANN,100,2,2,0.89,1.9555,0.3323,2.3649,0.35
ANN,100,2,3,0.921667,1.9645,0.1819,2.0978,0.38
ANN,100,2,4,0.92,2.1001,0.342,2.3351,0.36
ANN,100,2,5,0.92,2.1,0.3172,2.2763,0.36
ANN,100,2,6,0.92,2.1069,0.3861,2.5946,0.37
ANN,100,2,7,0.971667,2.4167,0.3995,2.4532,0.36
ANN,100,2,8,0.93,2.0447,0.2137,2.1653,0.36
ANN,100,2,9,0.87,1.8592,0.2538,2.2206,0.37
ANN,100,2,-1,0.968333,2.0574,0.1832,2.105,0.0
ANN,100,3,0,0.885,1.8751,0.2281,2.1997,0.36
ANN,100,3,1,0.778333,1.523,0.2071,2.2755,0.36
ANN,100,3,2,0.803333,1.7394,0.2765,2.3742,0.37
ANN,100,3,3,0.805,1.6347,0.1862,2.2053,0.36
ANN,100,3,4,0.833333,1.6901,0.2081,2.214,0.36
ANN,100,3,5,0.861667,1.7739,0.2053,2.1607,0.37
ANN,100,3,6,0.84,1.6668,0.1559,2.0991,0.36
ANN,100,3,7,0.795,1.6338,0.2235,2.4423,0.37
ANN,100,3,8,0.911667,2.0659,0.3306,2.2628,0.38
ANN,100,3,9,0.905,2.1265,0.3449,2.3839,0.36
ANN,100,3,-1,0.876667,1.7729,0.1737,2.1129,0.0
ANN,100,4,0,0.88,1.786,0.1817,2.2325,0.38
ANN,100,4,1,0.81,1.6159,0.1813,2.1658,0.37
ANN,100,4,2,0.895,1.7699,0.1277,2.0319,0.36
ANN,100,4,3,0.836667,1.7676,0.1924,2.2248,0.36
ANN,100,4,4,0.876667,1.7398,0.1373,2.1016,0.37
ANN,100,4,5,0.855,1.7546,0.1837,2.1884,0.36
ANN,100,4,6,0.84,1.6423,0.1348,2.0932,0.36
ANN,100,4,7,0.776667,1.5387,0.1911,2.2992,0.37
ANN,100,4,8,0.815,1.6772,0.2082,2.2506,0.35
ANN,100,4,9,0.885,1.9843,0.2671,2.3652,0.35
ANN,100,4,-1,0.861667,1.7276,0.1236,2.0646,0.0
ANN,100,5,0,0.843333,1.6646,0.1362,2.0342,0.37
ANN,100,5,1,0.895,2.2417,0.4188,2.6024,0.37
ANN,100,5,2,0.903333,1.7732,0.1151,1.9695,0.36
ANN,100,5,3,0.938333,1.9428,0.1759,2.0666,0.37
ANN,100,5,4,0.865,1.7384,0.1601,2.0605,0.36
ANN,100,5,5,0.866667,2.2494,0.538,2.6557,0.37
ANN,100,5,6,0.841667,1.8167,0.2432,2.3374,0.37
ANN,100,5,7,0.916667,2.3443,0.5098,2.596,0.39
ANN,100,5,8,0.936667,1.9753,0.1978,2.1042,0.36
ANN,100,5,9,0.888333,1.7961,0.1414,2.024,0.37
ANN,100,5,-1,0.936667,1.9543,0.1709,2.0832,0.0
ANN,100,6,0,0.786667,1.7058,0.3286,2.799,0.37
ANN,100,6,1,0.785,1.5487,0.1809,2.187,0.36
ANN,100,6,2,0.875,1.7104,0.1187,2.0244,0.36
ANN,100,6,3,0.763333,1.6111,0.2666,2.4457,0.36
ANN,100,6,4,0.828333,1.6128,0.2141,2.256,0.36
ANN,100,6,5,0.9,1.9468,0.2765,2.2295,0.38
ANN,100,6,6,0.806667,1.7158,0.2292,2.3567,0.37
ANN,100,6,7,0.856667,1.7118,0.1472,2.0495,0.38
ANN,100,6,8,0.88,1.7749,0.1472,2.0538,0.38
ANN,100,6,9,0.871667,1.7366,0.1882,2.1542,0.39
ANN,100,6,-1,0.858333,1.7075,0.1319,2.0364,0.0
ANN,100,7,0,0.916667,2.1138,0.3247,2.3792,0.37
ANN,100,7,1,0.89,2.3914,0.4796,2.716,0.38
ANN,100,7,2,0.853333,1.7131,0.1849,2.2036,0.37
ANN,100,7,3,0.931667,2.1609,0.284,2.3776,0.38
ANN,100,7,4,0.91,1.8952,0.156,2.091,0.38
ANN,100,7,5,0.915,2.0153,0.2519,2.1991,0.38
ANN,100,7,6,0.93,2.0966,0.3177,2.2608,0.36
ANN,100,7,7,0.918333,2.0472,0.2674,2.2474,0.38
ANN,100,7,8,0.856667,2.099,0.4469,2.529,0.37
ANN,100,7,9,0.91,2.1453,0.3669,2.4391,0.38
ANN,100,7,-1,0.955,2.0678,0.1949,2.1644,0.0
ANN,100,8,0,0.893333,1.8481,0.1549,2.0279,0.37
ANN,100,8,1,0.871667,1.7827,0.1489,2.0485,0.36
ANN,100,8,2,0.921667,1.9039,0.1721,2.1223,0.39
ANN,100,8,3,0.931667,1.9357,0.1781,2.0867,0.39
ANN,100,8,4,0.953333,2.3476,0.4009,2.4542,0.39
ANN,100,8,5,0.886667,1.9743,0.2962,2.3191,0.4
ANN,100,8,6,0.998333,2.3563,0.3071,2.3577,0.39
ANN,100,8,7,0.956667,2.0747,0.1783,2.1317,0.39
ANN,100,8,8,0.823333,1.7509,0.2846,2.5285,0.41
ANN,100,8,9,0.923333,1.8181,0.103,1.9803,0.4
ANN,100,8,-1,0.961667,1.9792,0.145,2.0418,0.0
ANN,100,9,0,0.858333,1.9526,0.316,2.5546,0.38
ANN,100,9,1,0.841667,1.7206,0.2033,2.1971,0.4
ANN,100,9,2,0.87,1.8331,0.2094,2.241,0.39
ANN,100,9,3,0.865,1.7681,0.1675,2.1288,0.42
ANN,100,9,4,0.813333,1.6997,0.2205,2.3338,0.48
ANN,100,9,5,0.906667,1.8477,0.1814,2.1108,0.74
ANN,100,9,6,0.905,1.8148,0.1172,2.0469,0.78
ANN,100,9,7,0.793333,1.6002,0.1984,2.3901,0.78
ANN,100,9,8,0.831667,1.6336,0.152,2.1469,0.77
ANN,100,9,9,0.79,1.6584,0.2961,2.4597,0.75
ANN,100,9,-1,0.865,1.7529,0.1624,2.1608,0.0
ANN,200,0,0,0.865,1.7416,0.1781,2.0988,1.32
ANN,200,0,1,0.89,1.7789,0.1807,2.1424,1.33
ANN,200,0,2,0.896667,1.7441,0.142,2.0115,1.32
ANN,200,0,3,0.935,1.8884,0.1172,2.0162,1.33
ANN,200,0,4,0.963333,2.3318,0.3648,2.3718,1.32
ANN,200,0,5,0.905,1.8463,0.1845,2.1303,1.32
ANN,200,0,6,0.838333,1.6662,0.1745,2.1356,1.32
ANN,200,0,7,0.888333,2.0152,0.2691,2.2619,1.32
ANN,200,0,8,0.925,1.8747,0.1223,2.0289,1.35
ANN,200,0,9,0.863333,1.7627,0.2239,2.1977,1.32
ANN,200,0,-1,0.935,1.865,0.1013,1.9717,0.0
ANN,200,1,0,0.835,1.6564,0.1136,1.9663,1.32
ANN,200,1,1,0.92,1.822,0.1081,1.9466,1.32
ANN,200,1,2,0.866667,1.7249,0.1225,1.9794,1.33
ANN,200,1,3,0.856667,1.7032,0.1361,2.0281,1.34
ANN,200,1,4,0.888333,1.7549,0.0958,1.9524,1.34
ANN,200,1,5,0.935,1.8705,0.1022,1.9677,1.33
ANN,200,1,6,0.99,2.2357,0.2598,2.2516,1.35
ANN,200,1,7,0.818333,1.6295,0.1668,2.1335,1.33
ANN,200,1,8,0.848333,1.6783,0.1433,2.0701,1.34
ANN,200,1,9,0.945,1.8848,0.1066,1.9623,1.33
ANN,200,1,-1,0.903333,1.796,0.0925,1.9439,0.0
ANN,200,2,0,0.935,1.8593,0.0761,1.9546,1.38
ANN,200,2,1,0.903333,1.8513,0.1657,2.0839,1.34
ANN,200,2,2,0.943333,2.0097,0.2263,2.0976,1.32
ANN,200,2,3,0.901667,1.8019,0.0995,1.969,1.34
ANN,200,2,4,0.961667,1.9205,0.1046,1.9751,1.32
ANN,200,2,5,0.876667,1.7356,0.0969,1.9343,1.37
ANN,200,2,6,0.888333,1.8548,0.255,2.1965,1.36
ANN,200,2,7,0.838333,1.6648,0.1168,1.9687,1.34
ANN,200,2,8,0.855,1.7233,0.1615,2.0646,1.33
ANN,200,2,9,0.911667,1.8994,0.1758,2.0333,1.4
ANN,200,2,-1,0.93,1.8321,0.083,1.9249,0.0
ANN,200,3,0,0.855,1.6916,0.1492,2.0409,1.38
ANN,200,3,1,0.888333,1.8993,0.198,2.1485,1.37
ANN,200,3,2,0.87,1.7421,0.1336,2.0313,1.4
ANN,200,3,3,0.885,1.7731,0.1078,2.0143,1.41
ANN,200,3,4,0.955,1.9844,0.1587,2.0578,1.35
ANN,200,3,5,0.936667,1.9799,0.1689,2.0715,1.35
ANN,200,3,6,0.93,1.9312,0.1414,2.0469,1.38
ANN,200,3,7,0.861667,1.701,0.1385,2.0339,1.37
ANN,200,3,8,0.886667,1.8565,0.228,2.1933,1.41
ANN,200,3,9,0.876667,1.7388,0.1441,2.0773,1.4
ANN,200,3,-1,0.901667,1.8298,0.1163,1.9977,0.0
ANN,200,4,0,0.871667,1.7255,0.1152,1.987,1.41
ANN,200,4,1,0.94,1.9957,0.2104,2.1449,1.35
ANN,200,4,2,0.925,1.8915,0.1179,1.9974,1.37
ANN,200,4,3,0.935,1.9661,0.1862,2.1009,1.37
ANN,200,4,4,0.856667,1.7377,0.1962,2.1728,1.34
ANN,200,4,5,0.863333,1.7815,0.1771,2.0903,1.37
ANN,200,4,6,0.921667,1.8652,0.1041,1.9784,1.34
ANN,200,4,7,0.93,1.9798,0.1947,2.1049,1.36
ANN,200,4,8,0.85,1.7071,0.1534,2.0704,0.86
ANN,200,4,9,0.84,1.6886,0.1531,2.0738,0.76
ANN,200,4,-1,0.913333,1.8339,0.0938,1.967,0.0
ANN,200,5,0,0.905,1.8464,0.1217,2.001,0.74
ANN,200,5,1,0.923333,1.9633,0.1675,2.0654,0.68
ANN,200,5,2,0.946667,1.9942,0.1789,2.1211,0.66
ANN,200,5,3,0.93,1.9815,0.1976,2.1323,0.73
ANN,200,5,4,0.825,1.6074,0.118,1.9958,0.71
ANN,200,5,5,0.916667,1.8351,0.0955,1.9786,0.72
ANN,200,5,6,0.841667,1.6666,0.1011,1.9651,0.7
ANN,200,5,7,0.965,2.2097,0.2928,2.2453,0.68
ANN,200,5,8,0.931667,1.9093,0.1137,1.9912,0.71
ANN,200,5,9,0.871667,1.7464,0.093,1.9693,0.67
ANN,200,5,-1,0.931667,1.876,0.0805,1.9455,0.0
ANN,200,6,0,0.783333,1.5396,0.1697,2.2424,0.83
ANN,200,6,1,0.87,1.8782,0.202,2.1529,0.87
ANN,200,6,2,0.896667,1.8313,0.1648,2.0455,0.87
ANN,200,6,3,0.896667,2.002,0.2621,2.2512,0.86
ANN,200,6,4,0.878333,1.7559,0.1171,2.0329,0.8
ANN,200,6,5,0.938333,2.2227,0.3219,2.3964,0.87
ANN,200,6,6,0.793333,1.613,0.2147,2.5667,0.86
ANN,200,6,7,0.866667,1.8892,0.2422,2.2582,0.98
ANN,200,6,8,0.908333,1.8781,0.145,2.0389,0.87
ANN,200,6,9,0.795,1.577,0.1959,2.2227,0.91
ANN,200,6,-1,0.901667,1.8187,0.1264,2.0661,0.0
ANN,200,7,0,0.816667,1.6593,0.1678,2.1588,0.88
ANN,200,7,1,0.916667,1.9732,0.2207,2.1689,0.86
ANN,200,7,2,0.916667,1.8697,0.1171,1.9982,1.01
ANN,200,7,3,0.893333,1.7528,0.1555,2.084,1.6
ANN,200,7,4,0.89,1.7835,0.1131,2.0017,0.94
ANN,200,7,5,0.883333,1.7677,0.1383,2.0692,0.85
ANN,200,7,6,0.893333,2.0261,0.2698,2.4449,0.87
ANN,200,7,7,0.975,2.3016,0.2878,2.3459,0.88
ANN,200,7,8,0.94,1.9188,0.128,2.0336,0.88
ANN,200,7,9,0.901667,1.8248,0.1428,2.0492,0.84
ANN,200,7,-1,0.935,1.8878,0.095,1.9947,0.0
ANN,200,8,0,0.863333,1.7464,0.188,2.1015,0.85
ANN,200,8,1,0.936667,1.869,0.1192,1.9746,0.86
ANN,200,8,2,0.908333,1.7956,0.1146,1.9866,0.86
ANN,200,8,3,0.918333,1.8394,0.1041,1.968,0.86
ANN,200,8,4,0.918333,1.8239,0.1004,1.9821,0.87
ANN,200,8,5,0.981667,2.1085,0.1989,2.1559,0.86
ANN,200,8,6,0.903333,1.8266,0.1396,2.0282,0.87
ANN,200,8,7,0.901667,1.8132,0.1304,1.9816,0.86
ANN,200,8,8,0.851667,1.6683,0.1208,2.0403,0.84
ANN,200,8,9,0.895,1.8019,0.1257,1.9987,0.87
ANN,200,8,-1,0.921667,1.8293,0.0889,1.9431,0.0
ANN,200,9,0,0.935,1.8581,0.1074,1.9732,0.89
ANN,200,9,1,0.921667,1.8725,0.1454,2.0212,0.88
ANN,200,9,2,0.891667,1.7567,0.0992,1.9447,0.89
ANN,200,9,3,0.92,1.8716,0.1213,1.9684,0.87
ANN,200,9,4,0.9,1.788,0.1721,2.0582,0.86
ANN,200,9,5,0.903333,1.876,0.1421,2.0401,0.86
ANN,200,9,6,0.916667,2.4545,0.5458,2.6801,0.85
ANN,200,9,7,0.936667,1.9398,0.1646,2.0589,0.87
ANN,200,9,8,0.841667,1.6536,0.2229,2.2011,1.53
ANN,200,9,9,0.92,1.9487,0.2014,2.0881,1.66
ANN,200,9,-1,0.95,1.902,0.1035,1.9663,0.0
ANN,300,0,0,0.958333,1.9673,0.1366,2.0109,2.33
ANN,300,0,1,0.876667,1.7355,0.0736,1.9255,2.32
ANN,300,0,2,0.933333,2.0183,0.2202,2.1694,2.3
ANN,300,0,3,0.855,1.6717,0.0931,1.948,2.31
ANN,300,0,4,0.905,1.997,0.3032,2.3188,2.29
ANN,300,0,5,0.95,1.8884,0.0994,1.9621,2.3
ANN,300,0,6,0.928333,1.8465,0.1248,2.0103,2.3
ANN,300,0,7,0.875,1.7572,0.1357,2.0737,2.32
ANN,300,0,8,0.88,1.7294,0.1224,1.9854,2.32
ANN,300,0,9,0.981667,2.1619,0.2094,2.1732,2.3
ANN,300,0,-1,0.933333,1.8773,0.0979,1.958,0.0
ANN,300,1,0,0.901667,1.784,0.0995,1.9644,2.31
ANN,300,1,1,0.935,1.9121,0.114,1.9901,2.34
ANN,300,1,2,0.921667,1.8551,0.0868,1.941,2.41
ANN,300,1,3,0.896667,1.8737,0.1903,2.0824,2.4
ANN,300,1,4,0.916667,1.9687,0.2306,2.1498,2.41
ANN,300,1,5,0.93,1.9987,0.2176,2.147,2.4
ANN,300,1,6,0.945,1.9052,0.1042,1.9801,2.41
ANN,300,1,7,0.85,1.7368,0.1532,2.0655,2.36
ANN,300,1,8,0.881667,1.7656,0.1084,2.0003,2.3
ANN,300,1,9,0.868333,1.7273,0.087,1.9436,2.33
ANN,300,1,-1,0.923333,1.8527,0.0924,1.9441,0.0
ANN,300,2,0,0.873333,1.8347,0.1783,2.089,2.31
ANN,300,2,1,0.93,1.9208,0.1505,2.0177,2.29
ANN,300,2,2,0.798333,1.5796,0.1564,2.1135,2.25
ANN,300,2,3,0.85,1.6743,0.097,1.9548,2.26
ANN,300,2,4,0.865,1.8294,0.1977,2.2387,2.33
ANN,300,2,5,0.878333,1.8461,0.2077,2.1713,2.27
ANN,300,2,6,0.988333,2.169,0.225,2.1757,2.28
ANN,300,2,7,0.935,1.8899,0.126,1.9968,2.25
ANN,300,2,8,0.935,1.8863,0.1148,1.9968,2.26
ANN,300,2,9,0.878333,1.7507,0.1032,2.011,2.28
ANN,300,2,-1,0.93,1.8381,0.0713,1.9245,0.0
ANN,300,3,0,0.851667,1.6694,0.1211,2.0025,2.33
ANN,300,3,1,0.875,1.7163,0.0901,1.95,2.35
ANN,300,3,2,0.938333,1.8807,0.0975,1.9597,2.29
ANN,300,3,3,0.883333,1.7399,0.0973,1.9594,2.3
ANN,300,3,4,0.97,2.1445,0.216,2.1971,2.3
ANN,300,3,5,0.83,1.6416,0.1296,2.0401,2.25
ANN,300,3,6,0.828333,1.5898,0.1197,1.9966,2.32
ANN,300,3,7,0.858333,1.7253,0.1343,1.9971,2.33
ANN,300,3,8,0.825,1.6636,0.174,2.0961,2.28
ANN,300,3,9,0.865,1.7525,0.1543,2.1341,2.28
ANN,300,3,-1,0.891667,1.7524,0.0584,1.9131,0.0
ANN,300,4,0,0.971667,2.0061,0.1287,2.0302,2.26
ANN,300,4,1,0.938333,1.9832,0.1927,2.1402,2.29
ANN,300,4,2,0.913333,1.7941,0.1238,2.0373,2.27
ANN,300,4,3,0.938333,2.0312,0.1938,2.1633,2.29
ANN,300,4,4,0.943333,1.8878,0.1005,1.9863,2.32
ANN,300,4,5,0.896667,2.1888,0.4347,2.4562,2.25
ANN,300,4,6,0.921667,1.9547,0.1776,2.1273,2.3
ANN,300,4,7,0.926667,1.9556,0.1518,2.0944,2.28
ANN,300,4,8,0.891667,1.7707,0.0632,1.9058,2.28
ANN,300,4,9,0.976667,2.1882,0.2316,2.2373,2.32
ANN,300,4,-1,0.956667,1.976,0.1185,2.0422,0.0
ANN,300,5,0,0.771667,1.5134,0.1753,2.2294,2.27
ANN,300,5,1,0.886667,1.7372,0.1177,2.0189,2.29
ANN,300,5,2,0.865,1.7043,0.1185,2.0168,2.26
ANN,300,5,3,0.805,1.589,0.1518,2.0739,2.35
ANN,300,5,4,0.9,1.8011,0.1257,2.0045,2.3
ANN,300,5,5,0.956667,1.9322,0.1195,2.014,2.29
ANN,300,5,6,0.846667,1.6832,0.147,2.0958,2.33
ANN,300,5,7,0.823333,1.7106,0.2138,2.2263,2.3
ANN,300,5,8,0.896667,1.8373,0.1434,2.0291,2.3
ANN,300,5,9,0.81,1.5963,0.1849,2.2054,2.3
ANN,300,5,-1,0.873333,1.7105,0.1066,1.986,0.0
ANN,300,6,0,0.921667,1.9364,0.1699,2.0848,2.28
ANN,300,6,1,0.963333,1.9454,0.1007,1.9808,2.31
ANN,300,6,2,0.938333,1.9009,0.1011,1.9702,2.29
ANN,300,6,3,0.963333,2.1304,0.2157,2.187,2.29
ANN,300,6,4,0.983333,2.0582,0.1545,2.0798,2.31
ANN,300,6,5,0.943333,1.8696,0.0823,1.937,2.3
ANN,300,6,6,0.943333,1.9049,0.092,1.9766,2.31
ANN,300,6,7,0.946667,1.9209,0.1036,1.9884,2.29
ANN,300,6,8,0.958333,1.9546,0.1156,1.9987,2.29
ANN,300,6,9,0.921667,1.8318,0.0782,1.9392,1.33
ANN,300,6,-1,0.965,1.9453,0.0911,1.9723,0.0
ANN,300,7,0,0.848333,1.6534,0.1426,2.0412,1.22
ANN,300,7,1,0.873333,1.7205,0.0891,1.9624,1.26
ANN,300,7,2,0.82,1.6076,0.1256,2.0615,1.31
ANN,300,7,3,0.9,1.7824,0.1075,2.0212,1.3
ANN,300,7,4,0.965,2.0371,0.1616,2.0696,1.29
ANN,300,7,5,0.866667,1.745,0.1193,2.0176,1.28
ANN,300,7,6,0.876667,1.7328,0.0812,1.9638,1.4
ANN,300,7,7,0.918333,1.9308,0.1629,2.071,2.27
